COIL_NO,NUMBER_OF_PASSES,PASS_NO,PASS_INPUT_THICKNESS,PASS_OUTPUT_THICKNESS
K441385000,8,1,2.23,1.79
K441385000,8,2,1.81,1.49
K441385000,8,3,1.49,1.24
K441385000,8,4,1.24,1.05
K441385000,8,5,1.03,0.87
K441385000,8,6,0.86,0.72
K441385000,8,7,0.72,0.64
K441385000,8,8,0.63,0.53
K450687000,8,2,1.8,1.49
K450687000,8,3,1.5,1.25
K450687000,8,4,1.25,1.04
K450687000,8,5,1.04,0.86
K450687000,8,6,0.86,0.72
K450687000,8,7,0.74,0.61
K450687000,8,8,0.62,0.52
K450742000,8,2,1.81,1.52
K450742000,8,3,1.5,1.25
K450742000,8,4,1.25,1.04
K450742000,8,5,1.04,0.86
K450742000,8,6,0.87,0.73
K450742000,8,8,0.53,0.6
K450598000,5,3,3.91,3.6
K450598000,5,4,3.59,3.31
K450598000,5,5,3.31,3.12
K451022000,6,3,1.88,1.54
K451022000,6,4,1.51,1.21
K451022000,6,5,1.25,1
K451022000,6,6,0.99,0.8
K451059000,6,3,1.87,1.55
K451059000,6,4,1.53,1.23
K451059000,6,5,1.24,0.99
K451059000,6,6,1,0.79
K451183000,7,2,2.29,1.9
K451183000,7,3,1.91,1.63
K451183000,7,4,1.6,1.32
K451183000,7,5,1.32,1.1
K451183000,7,6,1.11,0.94
K451183000,7,7,0.93,0.79
K450905000,7,2,2.28,1.92
K450905000,7,3,1.93,1.6
K450905000,7,4,1.59,1.32
K450905000,7,5,1.34,1.12
K450905000,7,6,1.1,0.92
K450905000,7,7,0.92,0.77
K451250000,7,2,2.29,1.9
K451250000,7,3,1.91,1.59
K451250000,7,4,1.58,1.32
K451250000,7,5,1.31,1.09
K451250000,7,6,1.09,0.92
K451250000,7,7,0.91,0.77
K442214000,4,2,1.46,1.08
K442214000,4,3,1.09,0.79
K442214000,4,4,0.79,0.58
K451538000,5,2,1.46,1.09
K451538000,5,3,1.09,0.78
K451538000,5,4,0.78,0.57
K451538000,5,5,0.57,0.41
K451069000,6,2,1.52,1.19
K451069000,6,3,1.18,0.9
K451069000,6,4,0.89,0.67
K451069000,6,6,0.38,0.5
K450761000,5,2,1.46,1.08
K450761000,5,3,1.08,0.79
K450761000,5,4,0.79,0.58
K450761000,5,5,0.57,0.41
K450887000,5,2,1.63,1.22
K450887000,5,3,1.22,0.89
K450887000,5,4,0.89,0.65
K442128000,5,2,1.15,1.46
K442128000,5,3,1.05,0.76
K442128000,5,4,0.76,0.54
K442128000,5,5,0.54,0.39
K450748000,5,2,1.65,1.26
K450748000,5,3,1.26,0.94
K450748000,5,4,0.94,0.7
K450748000,5,5,0.7,0.53
K440727000,6,2,1.52,1.18
K440727000,6,3,1.18,0.91
K440727000,6,4,0.91,0.69
K440727000,6,5,0.53,0.69
K440727000,6,6,0.53,0.4
K451222000,7,2,1.33,1.67
K451222000,7,3,1.29,0.98
K451222000,7,4,0.99,0.75
K451222000,7,5,0.74,0.56
K451222000,7,6,0.56,0.43
K451014000,5,2,1.46,1.09
K451014000,5,3,1.09,0.8
K451014000,5,4,0.8,0.58
K451014000,5,5,0.57,0.42
K451031000,5,2,1.51,1.28
K451031000,5,3,1.09,0.8
K451031000,5,5,0.58,0.42
K451503000,5,3,0.8,1.09
K451503000,5,4,0.79,0.58
K451503000,5,5,0.58,0.42
K450929000,5,2,1.12,1.46
K450929000,5,3,1.08,0.79
K450929000,5,4,0.79,0.57
K450929000,5,5,0.58,0.42
K451819000,0,1,2.23,1.71
K451819000,6,2,1.69,1.32
K451819000,6,3,1.31,1
K451819000,6,4,1,0.77
K451819000,6,5,0.77,0.59
K451819000,6,6,0.59,0.45
K450888000,6,2,1.68,1.31
K450888000,6,3,1.31,1
K450888000,6,4,1,0.77
K450888000,6,5,0.77,0.59
K450888000,6,6,0.59,0.45
K450151000,5,1,5.2,4.75
K450151000,5,2,4.51,4.38
K450151000,5,3,4.18,4.05
K450151000,5,5,3.56,3.43
K451166000,9,2,1.84,1.73
K451166000,9,4,1.34,1.29
K451166000,9,5,1.13,1.13
K451166000,9,6,1.01,0.99
K451166000,9,7,0.85,0.88
K451166000,9,8,0.77,0.78
K451166000,9,9,0.68,0.71
K451058000,9,1,2.24,2.02
K451058000,9,2,1.86,1.73
K451058000,9,3,1.54,1.3
K451058000,9,4,1.33,1.11
K451058000,9,5,1.15,1.13
K451058000,9,6,1.04,0.99
K451058000,9,7,0.88,0.88
K451058000,9,8,0.81,0.78
K451058000,9,9,0.71,0.71
