COIL_NO,NUMBER_OF_PASSES,PASS_NO,PASS_INPUT_THICKNESS,PASS_OUTPUT_THICKNESS,PASS_START_TIME,PASS_END_TIME,TOTAL_POWER_CONSUMPTION
K491451000,6,1,2.04,1.53,39:27.0,50:57.0,0
K491451000,6,2,1.52,1.16,51:34.0,55:54.0,0
K491451000,6,5,0.65,0.49,07:06.0,14:41.0,0
K491059000,6,2,1.56,1.22,40:21.0,44:46.0,0
K491059000,6,4,0.98,0.88,50:35.0,12:14.0,0
K491059000,6,5,0.74,0.57,12:42.0,19:36.0,0
K491197000,6,5,0.58,0.42,50:33.0,59:11.0,0
K491012000,6,1,2.01,1.47,32:29.0,42:21.0,0
K491012000,6,2,1.46,1.08,42:43.0,47:17.0,0
K491012000,6,5,0.58,0.42,14:32.0,21:21.0,0
K491458000,6,1,2.02,1.53,38:41.0,51:25.0,0
K491458000,6,2,1.52,1.16,51:53.0,56:45.0,0
K491409000,6,6,0.57,0.43,06:27.0,13:36.0,0
K491044000,6,1,2.04,1.55,21:03.0,31:43.0,0
K491044000,6,2,1.53,1.18,32:49.0,37:18.0,0
K491364000,5,2,2.34,1.99,50:03.0,53:19.0,0
K491364000,5,3,2,1.68,53:33.0,58:47.0,0
K491015000,6,4,0.79,0.58,44:50.0,51:10.0,0
K490533000,6,1,2.07,1.46,25:21.0,38:24.0,0
K490533000,6,2,1.46,1.09,39:13.0,43:53.0,0
K490533000,6,3,1.08,0.8,45:09.0,49:47.0,0
K490533000,6,4,0.8,0.59,50:09.0,55:53.0,0
K491010000,6,2,1.46,1.08,30:13.0,36:19.0,0
K490354000,6,5,0.64,0.48,26:35.0,34:15.0,0
K491712000,6,1,2.05,1.51,48:54.0,58:17.0,0
K491068000,6,4,0.86,0.65,54:32.0,59:59.0,0
K491068000,6,5,0.64,0.48,00:11.0,07:01.0,0
K490438000,6,1,1.96,1.5,56:04.0,07:17.0,0
K491227000,6,1,2.06,1.51,53:33.0,02:32.0,0
K491227000,6,2,1.5,1.15,02:59.0,06:39.0,0
K490993000,8,6,0.87,0.73,28:34.0,33:38.0,0
K490993000,8,8,0.6,0.51,41:49.0,50:14.0,0
K491662000,8,8,0.6,0.51,03:32.0,14:35.0,0
K490578000,8,1,4.8,3.99,55:57.0,01:28.0,0
K490578000,8,2,3.99,3.45,01:54.0,03:49.0,0
K490578000,8,3,3.44,2.97,04:31.0,06:28.0,0
K490578000,8,4,2.98,2.58,06:44.0,09:18.0,0
K471388000,8,5,1.72,1.49,57:35.0,00:12.0,0
K471388000,8,6,1.5,1.31,00:31.0,03:31.0,0
K471388000,8,7,1.3,1.15,03:42.0,07:09.0,0
K471388000,8,8,1.15,1.03,07:18.0,10:53.0,0
K481807000,7,1,5.2,4.43,16:08.0,26:02.0,0
K481807000,7,2,4.39,3.88,26:28.0,29:56.0,0
K481807000,7,7,2.32,2.02,52:19.0,56:22.0,0
K490465000,8,2,2.35,2.01,09:45.0,12:39.0,0
K490465000,8,3,2.01,1.72,12:53.0,16:40.0,0
K490465000,8,4,1.71,1.47,16:54.0,20:50.0,0
K490465000,8,5,1.47,1.25,21:01.0,24:39.0,0
K490465000,8,6,1.25,1.07,24:48.0,28:18.0,0
K490465000,8,7,1.08,0.94,28:34.0,33:07.0,0
K490465000,8,8,0.94,0.83,33:22.0,37:43.0,0
K490667000,7,1,2.49,2.04,23:30.0,31:24.0,0
K490667000,7,2,2.03,1.69,31:52.0,34:54.0,0
K490667000,7,3,1.69,1.41,35:06.0,38:14.0,0
K490667000,7,4,1.4,1.17,38:22.0,41:35.0,0
K490667000,7,5,1.17,0.99,41:43.0,46:01.0,0
K490667000,7,6,1,0.84,46:13.0,50:19.0,0
K490667000,7,7,0.84,0.72,50:37.0,56:24.0,0
